COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Costa Rica,CRI,AMRO,REPORTING,10/02/2023,12778229,4605172,250.843,90.402,4314443,84.695,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",24/12/2020,3,2832234,55.598
Côte d’Ivoire,CIV,AFRO,REPORTING,19/02/2023,25263932,13568372,95.776,51.438,12164304,46.115,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,5,3138712,11.899
Croatia,HRV,EURO,REPORTING,23/10/2022,5357755,2317461,132,57.141,2244181,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,6,954875,23.53
Cuba,CUB,AMRO,REPORTING,10/02/2023,38012728,10725585,335.605,94.694,10007272,88.352,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8695158,76.767
Curaçao,CUW,AMRO,REPORTING,10/02/2023,260324,108601,158.644,66.183,100885,61.48,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",24/02/2021,3,43138,26.289
Cyprus,CYP,EURO,REPORTING,05/02/2023,1856599,668666,209.1,75.3,655954,73.868,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,487065,54.849
Czechia,CZE,EURO,REPORTING,05/02/2023,18602204,6971022,174,65.187,6886523,64.397,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",23/12/2020,7,4363043,40.799
Democratic Republic of the Congo,COD,AFRO,REPORTING,12/02/2023,12474117,11549486,13.928,12.896,9138538,10.204,SII - Covishield,19/04/2021,1,,
Denmark,DNK,EURO,REPORTING,05/02/2023,15114372,4796911,259.6,82.382,4783897,82.159,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",16/12/2020,5,3667863,62.992
Djibouti,DJI,EMRO,REPORTING,26/02/2023,386619,365993,39.131,37.044,345628,34.983,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",15/03/2021,11,,
