Date,ISO Week,Reporting week,Time (A),State,LGA,Village,Road,Lat,Long,Description,Incident type,Incident Category,Threat Category,Perpetrator,Target,Fatality
01/04/2021,2,01.01.2021 - 07.01.2021,14:00,YOBE,GUJBA,BUNI YADI, ,11.280799,12.0043,Two male civilians apprehended *arrest* *arrest* two criminals and handed them over to GF/NPF. The civilians had sighted and identified their bicycles that were *theft / mugging*n on 02.01.2021.,Theft/Mugging,Confine,Criminality,Criminals,Criminals,0
01/04/2021,2,01.01.2021 - 07.01.2021,16:00,BORNO,GUZAMALA,ALJARI,MONGUNO - GAJIRAM RD,12.674469,13.396269,"OAG operatives with rifles set up an *IVCP* along this road. They stopped several commercial vehicles in transit and robbed the passengers of money and other valuables. Subsequently, they stopped a commercial vehicle and took all the luggage of the passengers before allowing them to continue their journey. ",IVCP,Theft,Terrorism,OAG,Civilians,0
01/04/2021,2,01.01.2021 - 07.01.2021,19:00,ADAMAWA,GIREI,VUNOKLANG, ,9.300129,12.48009,Two ‘Shilla’ gang members armed with knives robbed two female civilians of money and valuables while walking along a street.,Armed Robbery,Theft,Criminality,Criminals,Civilians,0
01/04/2021,2,01.01.2021 - 07.01.2021,23:00,BORNO,DIKWA,DIKWA, ,12.037899,13.9145,"Suspected OAG operatives with rifles entered the residence of a GF/CJTF member and attempted to rob him, the CJTF member resisted prompting the operatives to shoot and injure him.",Armed Robbery,Theft,Criminality,Criminals,Government Forces,0
01/04/2021,2,01.01.2021 - 07.01.2021,23:00,GOMBE,AKKO,PINDIGA, ,9.984399,10.948399,Criminals armed with handguns  Kidnap/Abductionion   one male civilian from his residence.,Kidnap/Abduction,Confine,Criminality,Criminals,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,03:00,YOBE,GEIDAM,GEIDAM, ,12.895204,11.926469,"Criminals *burlary* a residence and *theft / mugging* mobile phones, a laptop and other valuables.",Burglary,Theft,Criminality,Criminals,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,03:00,BORNO,MONGUNO,MONGUNO, ,12.671276,13.616703,"OAG operatives with rifles and RPGs aboard three vehicles mounted with HMGs attempted to cross over the security trench with their vehicles which wasn’t possible, prompting the operatives to enter the area on foot and fired RPGs at the GF/NA position. The RPGs fell far away from the GF position without any casualties. GF returned fire until reinforcement from the barracks arrived and exchanged fire with the operatives until they retreated. GF stationed at Charlie 6 (along Monguno-Maiduguri road axis) also fired HMGs as a show of force towards the area. Five IDPs (two male and three children) IVO of Kuya IDP camp sustained injuries from stray bullets during the cross fire while two IDPs (one male and one female) were killed by stray bullets. ",Coordinated attack,Attack,Armed Conflict,OAG,Government Forces,0
01/05/2021,2,01.01.2021 - 07.01.2021,04:00,GOMBE,KWAMI,DIRI, ,10.537599,10.961099,Criminals rustled cattle from a farm.,Theft/Mugging,Theft,Criminality,Criminals,Civilians,0
01/05/2021,2,01.01.2021 - 07.01.2021,04:00,YOBE,DAMATURU,DAMATURU, ,11.746999,11.9608,Criminals *burlary* a residence and *theft / mugging* mobile phones.,Burglary,Theft,Criminality,Criminals,Civilians,8
01/05/2021,2,01.01.2021 - 07.01.2021,07:00,BORNO,GWOZA,JANGO, ,11.298085,13.671935,"GF/CJTF together with vigilantes during an operation encountered OAG operatives in the village. Two operatives surrendered to the GF while the rest fled. Additionally, GF recovered 16 civilians (four adult females, seven male and five female children) in the village and took them to Pulka town. GF recovered two locally made guns and livestock from the operatives.",Surrender,Recover / Seize,Armed Conflict,Government Forces,OAG,0
01/05/2021,2,01.01.2021 - 07.01.2021,08:00,BORNO,KONDUGA,MAIRAMI,KONDUGA - BAMA RD,11.5747,13.5338,"OAG operatives with rifles and using one IED *ambush* a GF/NA vehicle conducting a road clearance operation. The operatives detonated a command-pull IED against the GF vehicle and opened fire at GF members. The explosion injured two GF members, while the operatives shot and killed another one.",Ambush,Attack,Armed Conflict,OAG,Government Forces,0
01/05/2021,2,01.01.2021 - 07.01.2021,10:00,BORNO,ASKIRA/UBA,ASKIRA, ,10.653599,12.919199,A herdsman armed with a machete injured one male farmer on his farm on the outskirts of the town.,Ethno-political clash,Attack,Armed Conflict,Tribal Militia,Tribal Militia,0
